bps_region_code,province,district,poverty_rate,poverty_year,merge_key
2105,KEPULAUAN RIAU,Kepulauan Anambas,6.35,2025,KEPULAUAN RIAU|KEPULAUAN ANAMBAS
1301,SUMATERA BARAT,Kepulauan Mentawai,13.22,2025,SUMATERA BARAT|KEPULAUAN MENTAWAI
3328,JAWA TENGAH,Tegal,6.16,2025,JAWA TENGAH|TEGAL
5316,NUSA TENGGARA TIMUR,Sumba Tengah,29.23,2025,NUSA TENGGARA TIMUR|SUMBA TENGAH
6112,KALIMANTAN BARAT,Kubu Raya,3.99,2025,KALIMANTAN BARAT|KUBU RAYA
9105,PAPUA BARAT,Manokwari,17.38,2025,PAPUA BARAT|MANOKWARI
5106,BALI,Bangli,4.83,2025,BALI|BANGLI
7604,SULAWESI BARAT,Mamuju,6.99,2025,SULAWESI BARAT|MAMUJU
1607,SUMATERA SELATAN,Banyu Asin,8.48,2025,SUMATERA SELATAN|BANYU ASIN
3372,JAWA TENGAH,Kota Surakarta,7.69,2025,JAWA TENGAH|KOTA SURAKARTA
1207,SUMATERA UTARA,Labuhan Batu,7.37,2025,SUMATERA UTARA|LABUHAN BATU
7405,SULAWESI TENGGARA,Konawe Selatan,11.18,2025,SULAWESI TENGGARA|KONAWE SELATAN
3274,JAWA BARAT,Kota Cirebon,8.66,2025,JAWA BARAT|KOTA CIREBON
6211,KALIMANTAN TENGAH,Gunung Mas,5.48,2025,KALIMANTAN TENGAH|GUNUNG MAS
7325,SULAWESI SELATAN,Luwu Timur,5.79,2025,SULAWESI SELATAN|LUWU TIMUR
7372,SULAWESI SELATAN,Kota Parepare,4.44,2025,SULAWESI SELATAN|KOTA PAREPARE
3504,JAWA TIMUR,Tulungagung,5.96,2025,JAWA TIMUR|TULUNGAGUNG
3303,JAWA TENGAH,Purbalingga,12.55,2025,JAWA TENGAH|PURBALINGGA
7310,SULAWESI SELATAN,Barru,8.0,2025,SULAWESI SELATAN|BARRU
8171,MALUKU,Kota Ambon,4.34,2025,MALUKU|KOTA AMBON
1215,SUMATERA UTARA,Humbang Hasundutan,7.8,2025,SUMATERA UTARA|HUMBANG HASUNDUTAN
9103,PAPUA BARAT,Teluk Wondama,27.57,2025,PAPUA BARAT|TELUK WONDAMA
1209,SUMATERA UTARA,Simalungun,6.91,2025,SUMATERA UTARA|SIMALUNGUN
6207,KALIMANTAN TENGAH,Lamandau,3.33,2025,KALIMANTAN TENGAH|LAMANDAU
7103,SULAWESI UTARA,Kepulauan Sangihe,10.91,2025,SULAWESI UTARA|KEPULAUAN SANGIHE
6203,KALIMANTAN TENGAH,Kapuas,5.48,2025,KALIMANTAN TENGAH|KAPUAS
1216,SUMATERA UTARA,Pakpak Bharat,6.4,2025,SUMATERA UTARA|PAKPAK BHARAT
3520,JAWA TIMUR,Magetan,9.14,2025,JAWA TIMUR|MAGETAN
7314,SULAWESI SELATAN,Sidenreng Rappang,4.91,2025,SULAWESI SELATAN|SIDENRENG RAPPANG
3309,JAWA TENGAH,Boyolali,8.71,2025,JAWA TENGAH|BOYOLALI
6103,KALIMANTAN BARAT,Landak,8.9,2025,KALIMANTAN BARAT|LANDAK
9706,PAPUA PEGUNUNGAN,Yalimo,27.35,2025,PAPUA PEGUNUNGAN|YALIMO
5310,NUSA TENGGARA TIMUR,Sikka,11.25,2025,NUSA TENGGARA TIMUR|SIKKA
7205,SULAWESI TENGAH,Donggala,14.66,2025,SULAWESI TENGAH|DONGGALA
1118,ACEH,Pidie Jaya,16.12,2025,ACEH|PIDIE JAYA
9707,PAPUA PEGUNUNGAN,Yahukimo,30.61,2025,PAPUA PEGUNUNGAN|YAHUKIMO
1505,JAMBI,Muaro Jambi,4.32,2025,JAMBI|MUARO JAMBI
3318,JAWA TENGAH,Pati,8.24,2025,JAWA TENGAH|PATI
5314,NUSA TENGGARA TIMUR,Rote Ndao,24.37,2025,NUSA TENGGARA TIMUR|ROTE NDAO
6501,KALIMANTAN UTARA,Malinau,5.56,2025,KALIMANTAN UTARA|MALINAU
7313,SULAWESI SELATAN,Wajo,5.86,2025,SULAWESI SELATAN|WAJO
1171,ACEH,Kota Banda Aceh,5.45,2025,ACEH|KOTA BANDA ACEH
1606,SUMATERA SELATAN,Musi Banyuasin,9.97,2025,SUMATERA SELATAN|MUSI BANYUASIN
1703,BENGKULU,Bengkulu Utara,10.07,2025,BENGKULU|BENGKULU UTARA
1810,LAMPUNG,Pringsewu,7.6,2025,LAMPUNG|PRINGSEWU
3321,JAWA TENGAH,Demak,10.87,2025,JAWA TENGAH|DEMAK
7605,SULAWESI BARAT,Mamuju Utara,4.96,2025,SULAWESI BARAT|MAMUJU UTARA
6402,KALIMANTAN TIMUR,Kutai Barat,8.72,2025,KALIMANTAN TIMUR|KUTAI BARAT
7501,GORONTALO,Boalemo,16.37,2025,GORONTALO|BOALEMO
9203,PAPUA BARAT DAYA,Sorong Selatan,17.66,2025,PAPUA BARAT DAYA|SORONG SELATAN
7504,GORONTALO,Bone Bolango,13.16,2025,GORONTALO|BONE BOLANGO
9426,PAPUA,Waropen,32.6,2025,PAPUA|WAROPEN
1402,RIAU,Indragiri Hulu,5.83,2025,RIAU|INDRAGIRI HULU
1506,JAMBI,Tanjung Jabung Timur,9.96,2025,JAMBI|TANJUNG JABUNG TIMUR
