province,date,temp_mean,temp_max_mean,temp_min_mean,precip_sum,rainy_days,precip_anomaly
Kalimantan Selatan,2024-07-01,26.41290322580645,30.55806451612903,23.39032258064516,148.0,15.0,-66.57499999999999
Kalimantan Selatan,2024-08-01,26.677419354838708,31.293548387096774,23.470967741935485,135.1,20.0,-44.375
Kalimantan Selatan,2024-09-01,27.4,32.663333333333334,23.796666666666667,125.1,15.0,-58.92499999999998
Kalimantan Selatan,2024-10-01,27.193548387096776,32.12903225806452,24.183870967741935,193.3,25.0,-60.44999999999999
Kalimantan Selatan,2024-11-01,26.62,31.43,24.0,512.6,29.0,33.89999999999998
Kalimantan Selatan,2024-12-01,26.848387096774193,30.606451612903225,24.36774193548387,471.3,30.0,1.4750000000000227
Kalimantan Selatan,2025-01-01,26.36774193548387,30.10967741935484,23.970967741935485,479.4,30.0,-56.5
Kalimantan Selatan,2025-02-01,26.814285714285713,30.99642857142857,24.021428571428572,332.6,25.0,-104.5
Kalimantan Selatan,2025-03-01,26.79032258064516,31.135483870967743,23.993548387096773,433.8,28.0,-49.539999999999964
Kalimantan Selatan,2025-04-01,26.623333333333335,30.626666666666665,23.96333333333333,400.0,28.0,33.39999999999998
Kalimantan Selatan,2025-05-01,27.25483870967742,31.425806451612903,24.55483870967742,272.3,26.0,-22.80000000000001
Kalimantan Selatan,2025-06-01,26.64333333333333,30.573333333333334,24.273333333333333,222.2,21.0,-28.919999999999987
Kalimantan Tengah,2021-01-01,25.67096774193548,29.370967741935484,23.29032258064516,424.5,29.0,14.180000000000007
Kalimantan Tengah,2021-02-01,26.017857142857142,30.067857142857143,23.360714285714288,281.7,24.0,-53.28000000000003
Kalimantan Tengah,2021-03-01,26.019354838709678,30.129032258064516,23.458064516129035,347.5,28.0,-90.01999999999998
Kalimantan Tengah,2021-04-01,26.613333333333333,31.17,23.53666666666667,202.8,22.0,-156.01999999999998
Kalimantan Tengah,2021-05-01,26.438709677419357,30.174193548387095,24.016129032258064,319.9,27.0,-16.04000000000002
Kalimantan Tengah,2021-06-01,26.23,30.043333333333333,23.623333333333335,169.8,23.0,-88.54000000000002
Kalimantan Tengah,2021-07-01,26.019354838709678,29.961290322580645,23.225806451612904,144.5,20.0,-59.35000000000002
Kalimantan Tengah,2021-08-01,25.73548387096774,29.361290322580647,23.36774193548387,290.1,27.0,67.22500000000002
Kalimantan Tengah,2021-09-01,25.59,29.253333333333334,23.206666666666667,254.5,27.0,12.799999999999983
Kalimantan Tengah,2021-10-01,26.351612903225806,31.177419354838708,23.370967741935484,294.8,27.0,-61.49999999999994
Kalimantan Tengah,2021-11-01,25.69,30.023333333333333,23.173333333333336,563.8,29.0,59.02499999999998
Kalimantan Tengah,2021-12-01,25.90967741935484,30.76774193548387,23.154838709677417,452.0,31.0,64.05000000000001
Kalimantan Tengah,2022-01-01,25.996774193548386,30.80322580645161,23.138709677419353,348.1,26.0,-62.21999999999997
Kalimantan Tengah,2022-02-01,25.964285714285715,30.639285714285712,23.04642857142857,265.8,22.0,-69.18
